
Age,Age_Group,Gender,Region,Household_Type,Occupation,IPTV_Provider,Subscription_Type,Digital_Literacy,OTT_Viewing_Ratio
77,65+,Female,Seoul,Two-Person,Retired/Unemployed,SKB,Triple-Play,Low,0.39
46,45-54,Female,Other Urban,Two-Person,Service Industry,SKB,Family,Medium,0.67
74,65+,Male,Other Urban,Single,Retired/Unemployed,SKB,Individual,Medium,0.31
9,5-12,Female,Other Urban,Single,Student,SKB,Triple-Play,Low,0.12
23,18-24,Female,Seoul,Three-Person,Student,SKB,Triple-Play,High,0.69
5,5-12,Female,Seoul,Two-Person,Student,KT,Triple-Play,Low,0.19
28,25-34,Male,Rural Areas,Four-or-More,Student,SKB,Family,Medium,0.42
36,35-44,Male,Other Urban,Two-Person,Office Worker,KT,Triple-Play,Medium,0.77
29,25-34,Male,Other Urban,Two-Person,Service Industry,LG U+,Family,Low,0.31
83,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,SKB,Family,Low,0.64
36,35-44,Male,Other Urban,Single,Service Industry,SKB,Individual,Low,0.3
25,25-34,Male,Rural Areas,Two-Person,Professional/Managerial,LG U+,Family,High,0.56
54,45-54,Male,Rural Areas,Single,Office Worker,KT,Triple-Play,High,0.56
19,18-24,Female,Seoul,Two-Person,Student,SKB,Triple-Play,High,0.78
60,55-64,Male,Rural Areas,Single,Retired/Unemployed,SKB,Individual,Low,0.31
12,5-12,Male,Other Urban,Single,Student,SKB,Individual,Low,0.15
83,65+,Male,Rural Areas,Four-or-More,Retired/Unemployed,SKB,Family,Low,0.28
63,55-64,Male,Other Urban,Two-Person,Office Worker,KT,Individual,Low,0.36
24,18-24,Male,Other Urban,Four-or-More,Professional/Managerial,KT,Family,High,0.41
3,0-4,Male,Other Urban,Two-Person,Student,LG U+,Family,Low,0.13
73,65+,Female,Other Urban,Two-Person,Retired/Unemployed,KT,Individual,Low,0.31
56,55-64,Female,Other Urban,Single,Retired/Unemployed,KT,Triple-Play,Low,0.52
62,55-64,Female,Rural Areas,Two-Person,Service Industry,Other,Individual,Low,0.37
64,55-64,Male,Rural Areas,Two-Person,Office Worker,KT,Triple-Play,Low,0.41
7,5-12,Male,Other Urban,Single,Student,SKB,Individual,Low,0.3
39,35-44,Male,Other Urban,Three-Person,Office Worker,LG U+,Family,High,0.6
16,13-17,Male,Rural Areas,Single,Student,KT,Triple-Play,High,0.81
74,65+,Male,Other Urban,Two-Person,Retired/Unemployed,Other,Family,Low,0.12
49,45-54,Male,Other Urban,Two-Person,Office Worker,KT,Triple-Play,Medium,0.75
28,25-34,Male,Other Urban,Four-or-More,Homemaker,KT,Triple-Play,Low,0.27
12,5-12,Male,Seoul,Single,Student,KT,Individual,Low,0.18
32,25-34,Male,Other Urban,Two-Person,Professional/Managerial,SKB,Family,Medium,0.46
28,25-34,Female,Seoul,Two-Person,Homemaker,Other,Triple-Play,Medium,0.13
64,55-64,Male,Seoul,Single,Retired/Unemployed,LG U+,Individual,Low,0.24
50,45-54,Female,Other Urban,Two-Person,Service Industry,LG U+,Family,Medium,0.22
82,65+,Female,Rural Areas,Single,Retired/Unemployed,KT,Triple-Play,Low,0.3
39,35-44,Male,Other Urban,Single,Service Industry,Other,Individual,Low,0.24
17,13-17,Male,Other Urban,Single,Student,LG U+,Individual,High,0.9
56,55-64,Male,Seoul,Three-Person,Office Worker,KT,Family,Low,0.17
61,55-64,Female,Seoul,Single,Homemaker,LG U+,Individual,Low,0.06
48,45-54,Female,Other Urban,Two-Person,Office Worker,Other,Family,Medium,0.67
62,55-64,Female,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.21
51,45-54,Female,Other Urban,Single,Service Industry,KT,Individual,Medium,0.39
51,45-54,Female,Other Urban,Single,Office Worker,Other,Individual,Medium,0.37
43,35-44,Female,Other Urban,Two-Person,Office Worker,KT,Triple-Play,Medium,0.57
0,0-4,Female,Other Urban,Single,Student,LG U+,Individual,Low,0.4
14,13-17,Female,Other Urban,Single,Student,KT,Triple-Play,High,0.78
10,5-12,Female,Other Urban,Three-Person,Student,Other,Family,Low,0.46
50,45-54,Male,Rural Areas,Two-Person,Retired/Unemployed,KT,Triple-Play,Medium,0.56
30,25-34,Female,Seoul,Single,Office Worker,SKB,Individual,High,0.54
50,45-54,Male,Seoul,Two-Person,Professional/Managerial,KT,Family,High,0.32
76,65+,Male,Other Urban,Single,Service Industry,SKB,Triple-Play,Low,0.2
34,25-34,Female,Rural Areas,Two-Person,Homemaker,Other,Family,Low,0.29
41,35-44,Male,Other Urban,Single,Service Industry,Other,Triple-Play,Medium,0.4
64,55-64,Male,Seoul,Single,Retired/Unemployed,KT,Individual,Medium,0.66
30,25-34,Male,Other Urban,Single,Professional/Managerial,SKB,Triple-Play,Medium,0.82
5,5-12,Female,Other Urban,Single,Student,KT,Individual,Low,0.19
27,25-34,Male,Other Urban,Three-Person,Office Worker,SKB,Family,High,0.62
19,18-24,Male,Other Urban,Single,Student,LG U+,Individual,High,0.48
70,65+,Female,Other Urban,Single,Homemaker,LG U+,Individual,Medium,0.48
62,55-64,Female,Rural Areas,Two-Person,Homemaker,KT,Family,Medium,0.28
47,45-54,Female,Other Urban,Two-Person,Office Worker,SKB,Family,Medium,0.71
74,65+,Male,Seoul,Single,Retired/Unemployed,LG U+,Triple-Play,Low,0.1
62,55-64,Female,Other Urban,Single,Service Industry,KT,Individual,Medium,0.41
22,18-24,Male,Rural Areas,Single,Student,KT,Triple-Play,High,0.55
88,65+,Female,Other Urban,Single,Retired/Unemployed,KT,Triple-Play,Medium,0.69
50,45-54,Male,Rural Areas,Single,Retired/Unemployed,KT,Individual,Medium,0.63
59,55-64,Female,Other Urban,Single,Retired/Unemployed,KT,Individual,Low,0.18
89,65+,Female,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Low,0.37
31,25-34,Male,Other Urban,Four-or-More,Office Worker,KT,Family,High,0.77
13,13-17,Female,Rural Areas,Two-Person,Student,LG U+,Triple-Play,Medium,0.79
26,25-34,Female,Other Urban,Two-Person,Office Worker,SKB,Family,Medium,0.73
42,35-44,Female,Other Urban,Three-Person,Office Worker,LG U+,Family,High,0.64
89,65+,Male,Other Urban,Two-Person,Homemaker,KT,Individual,Low,0.22
84,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,KT,Family,Medium,0.67
3,0-4,Male,Other Urban,Two-Person,Student,KT,Family,Low,0.32
54,45-54,Female,Rural Areas,Two-Person,Professional/Managerial,LG U+,Individual,Medium,0.27
44,35-44,Female,Other Urban,Single,Office Worker,LG U+,Triple-Play,Medium,0.75
33,25-34,Male,Other Urban,Two-Person,Office Worker,Other,Family,Medium,0.37
16,13-17,Male,Seoul,Single,Student,SKB,Individual,High,0.82
34,25-34,Female,Seoul,Single,Office Worker,SKB,Triple-Play,High,0.83
74,65+,Female,Other Urban,Single,Retired/Unemployed,SKB,Individual,Low,0.29
34,25-34,Female,Other Urban,Two-Person,Retired/Unemployed,KT,Individual,Low,0.15
53,45-54,Male,Seoul,Two-Person,Office Worker,KT,Individual,Medium,0.29
61,55-64,Female,Rural Areas,Four-or-More,Retired/Unemployed,LG U+,Family,Low,0.57
36,35-44,Male,Other Urban,Single,Service Industry,KT,Individual,Low,0.21
89,65+,Female,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.12
84,65+,Female,Other Urban,Four-or-More,Retired/Unemployed,KT,Triple-Play,Low,0.11
32,25-34,Female,Seoul,Four-or-More,Homemaker,KT,Triple-Play,Medium,0.78
51,45-54,Female,Other Urban,Two-Person,Office Worker,SKB,Individual,Medium,0.27
31,25-34,Female,Rural Areas,Single,Office Worker,KT,Individual,Medium,0.15
32,25-34,Female,Other Urban,Two-Person,Office Worker,Other,Triple-Play,Medium,0.28
5,5-12,Female,Rural Areas,Single,Student,LG U+,Triple-Play,Low,0.13
49,45-54,Female,Other Urban,Four-or-More,Office Worker,LG U+,Triple-Play,Medium,0.46
46,45-54,Female,Seoul,Three-Person,Professional/Managerial,Other,Family,High,0.81
6,5-12,Male,Rural Areas,Single,Student,KT,Individual,Low,0.54
25,25-34,Male,Rural Areas,Four-or-More,Office Worker,SKB,Family,Medium,0.7
69,65+,Male,Rural Areas,Three-Person,Homemaker,LG U+,Triple-Play,Low,0.19
26,25-34,Female,Other Urban,Four-or-More,Professional/Managerial,SKB,Triple-Play,High,0.91
21,18-24,Female,Other Urban,Four-or-More,Student,KT,Triple-Play,High,0.36
47,45-54,Female,Other Urban,Single,Homemaker,KT,Triple-Play,Low,0.08
83,65+,Female,Seoul,Single,Retired/Unemployed,SKB,Individual,Low,0.15
26,25-34,Female,Other Urban,Two-Person,Retired/Unemployed,LG U+,Family,Low,0.51
60,55-64,Female,Rural Areas,Four-or-More,Retired/Unemployed,KT,Family,Low,0.41
56,55-64,Male,Seoul,Four-or-More,Professional/Managerial,SKB,Family,Medium,0.64
32,25-34,Female,Rural Areas,Two-Person,Office Worker,KT,Family,High,0.67
62,55-64,Female,Seoul,Single,Retired/Unemployed,SKB,Individual,Low,0.09
39,35-44,Female,Other Urban,Single,Retired/Unemployed,Other,Individual,Low,0.62
54,45-54,Male,Other Urban,Three-Person,Office Worker,SKB,Family,Medium,0.5
51,45-54,Male,Other Urban,Two-Person,Student,SKB,Triple-Play,High,0.81
48,45-54,Female,Rural Areas,Two-Person,Homemaker,KT,Triple-Play,Medium,0.31
5,5-12,Female,Other Urban,Two-Person,Student,KT,Triple-Play,Low,0.57
75,65+,Male,Other Urban,Three-Person,Service Industry,KT,Family,Medium,0.54
26,25-34,Female,Seoul,Four-or-More,Homemaker,LG U+,Family,Medium,0.78
19,18-24,Male,Other Urban,Single,Student,KT,Individual,High,0.6
6,5-12,Male,Rural Areas,Single,Student,SKB,Individual,Low,0.29
48,45-54,Female,Other Urban,Three-Person,Service Industry,LG U+,Triple-Play,Medium,0.39
55,55-64,Female,Other Urban,Four-or-More,Retired/Unemployed,LG U+,Family,Low,0.1
4,0-4,Male,Rural Areas,Single,Student,SKB,Individual,Low,0.08
52,45-54,Female,Seoul,Single,Service Industry,SKB,Individual,Low,0.35
33,25-34,Female,Rural Areas,Single,Service Industry,KT,Individual,Low,0.35
48,45-54,Male,Other Urban,Single,Service Industry,KT,Triple-Play,Medium,0.55
19,18-24,Female,Seoul,Single,Student,SKB,Triple-Play,High,0.96
57,55-64,Female,Rural Areas,Two-Person,Office Worker,KT,Triple-Play,Low,0.4
36,35-44,Female,Rural Areas,Single,Service Industry,KT,Individual,Medium,0.84
69,65+,Male,Other Urban,Two-Person,Retired/Unemployed,LG U+,Triple-Play,Low,0.09
23,18-24,Female,Seoul,Single,Service Industry,LG U+,Individual,Low,0.21
27,25-34,Male,Rural Areas,Single,Professional/Managerial,KT,Individual,Medium,0.28
14,13-17,Male,Seoul,Two-Person,Student,KT,Triple-Play,Medium,0.76
87,65+,Female,Other Urban,Two-Person,Office Worker,SKB,Individual,Medium,0.55
86,65+,Female,Other Urban,Single,Retired/Unemployed,KT,Triple-Play,Low,0.32
25,25-34,Female,Other Urban,Three-Person,Professional/Managerial,KT,Family,High,0.74
62,55-64,Male,Other Urban,Single,Homemaker,LG U+,Individual,Low,0.52
66,65+,Male,Rural Areas,Two-Person,Homemaker,KT,Family,Medium,0.33
49,45-54,Male,Seoul,Two-Person,Service Industry,KT,Triple-Play,Low,0.26
53,45-54,Female,Rural Areas,Four-or-More,Service Industry,SKB,Triple-Play,Low,0.28
32,25-34,Male,Other Urban,Two-Person,Office Worker,LG U+,Triple-Play,Medium,0.49
14,13-17,Female,Other Urban,Two-Person,Student,LG U+,Family,Medium,0.54
89,65+,Male,Seoul,Two-Person,Retired/Unemployed,LG U+,Individual,Low,0.26
80,65+,Male,Other Urban,Single,Retired/Unemployed,SKB,Triple-Play,Low,0.38
49,45-54,Female,Seoul,Three-Person,Office Worker,LG U+,Family,Medium,0.61
34,25-34,Female,Other Urban,Single,Office Worker,LG U+,Individual,Medium,0.48
40,35-44,Male,Seoul,Three-Person,Service Industry,SKB,Family,Low,0.3
57,55-64,Male,Seoul,Single,Retired/Unemployed,KT,Individual,Low,0.31
67,65+,Female,Seoul,Four-or-More,Retired/Unemployed,LG U+,Family,Low,0.15
90,65+,Female,Rural Areas,Single,Retired/Unemployed,Other,Individual,Low,0.09
62,55-64,Male,Rural Areas,Four-or-More,Office Worker,Other,Triple-Play,Low,0.24
54,45-54,Female,Other Urban,Two-Person,Service Industry,KT,Family,Medium,0.55
6,5-12,Female,Other Urban,Single,Student,Other,Triple-Play,Low,0.45
24,18-24,Female,Other Urban,Single,Office Worker,SKB,Individual,High,0.69
76,65+,Female,Rural Areas,Four-or-More,Retired/Unemployed,KT,Triple-Play,Medium,0.43
46,45-54,Male,Seoul,Single,Service Industry,Other,Individual,Medium,0.59
2,0-4,Male,Seoul,Single,Student,Other,Individual,Low,0.25
16,13-17,Male,Rural Areas,Single,Student,LG U+,Individual,High,0.87
56,55-64,Female,Rural Areas,Four-or-More,Office Worker,Other,Triple-Play,Low,0.41
4,0-4,Male,Seoul,Single,Student,LG U+,Individual,Low,0.52
22,18-24,Female,Other Urban,Single,Student,SKB,Individual,High,0.61
50,45-54,Female,Other Urban,Four-or-More,Office Worker,Other,Family,High,0.81
56,55-64,Male,Other Urban,Four-or-More,Retired/Unemployed,Other,Triple-Play,Low,0.14
59,55-64,Female,Other Urban,Single,Retired/Unemployed,KT,Triple-Play,Low,0.46
31,25-34,Male,Seoul,Four-or-More,Service Industry,KT,Triple-Play,Low,0.09
64,55-64,Female,Seoul,Single,Service Industry,SKB,Individual,Medium,0.82
34,25-34,Male,Other Urban,Single,Homemaker,LG U+,Triple-Play,Medium,0.49
32,25-34,Female,Other Urban,Three-Person,Service Industry,LG U+,Triple-Play,Medium,0.52
61,55-64,Female,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Medium,0.82
52,45-54,Female,Other Urban,Single,Retired/Unemployed,SKB,Triple-Play,Low,0.06
73,65+,Male,Rural Areas,Single,Retired/Unemployed,LG U+,Individual,Medium,0.8
59,55-64,Male,Rural Areas,Single,Homemaker,LG U+,Individual,Medium,0.5
49,45-54,Male,Other Urban,Three-Person,Professional/Managerial,KT,Family,High,0.6
15,13-17,Male,Other Urban,Four-or-More,Student,SKB,Family,High,0.75
44,35-44,Male,Seoul,Single,Office Worker,SKB,Individual,High,0.79
28,25-34,Female,Other Urban,Three-Person,Service Industry,LG U+,Triple-Play,Low,0.36
33,25-34,Female,Rural Areas,Single,Office Worker,LG U+,Individual,Medium,0.46
85,65+,Male,Other Urban,Three-Person,Retired/Unemployed,LG U+,Family,Low,0.32
36,35-44,Male,Seoul,Single,Professional/Managerial,KT,Individual,Medium,0.32
79,65+,Male,Other Urban,Two-Person,Homemaker,KT,Family,Medium,0.43
54,45-54,Female,Other Urban,Single,Professional/Managerial,LG U+,Triple-Play,High,0.88
62,55-64,Female,Other Urban,Four-or-More,Retired/Unemployed,KT,Triple-Play,Medium,0.49
51,45-54,Male,Seoul,Single,Retired/Unemployed,KT,Individual,Low,0.1
52,45-54,Male,Other Urban,Two-Person,Office Worker,KT,Triple-Play,Medium,0.57
47,45-54,Female,Other Urban,Four-or-More,Homemaker,KT,Family,Low,0.36
24,18-24,Male,Rural Areas,Two-Person,Homemaker,LG U+,Triple-Play,Low,0.11
58,55-64,Male,Other Urban,Single,Homemaker,LG U+,Individual,Medium,0.52
29,25-34,Female,Other Urban,Two-Person,Professional/Managerial,SKB,Family,High,0.85
0,0-4,Male,Seoul,Four-or-More,Student,LG U+,Triple-Play,Low,0.5
48,45-54,Male,Other Urban,Two-Person,Retired/Unemployed,SKB,Family,Low,0.38
20,18-24,Male,Other Urban,Single,Office Worker,KT,Individual,High,0.6
76,65+,Male,Other Urban,Two-Person,Homemaker,LG U+,Triple-Play,Medium,0.58
90,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,SKB,Family,Low,0.27
69,65+,Female,Other Urban,Single,Retired/Unemployed,KT,Individual,Medium,0.58
41,35-44,Female,Other Urban,Two-Person,Office Worker,LG U+,Triple-Play,High,0.66
4,0-4,Female,Other Urban,Three-Person,Student,KT,Family,Low,0.29
85,65+,Female,Other Urban,Single,Homemaker,KT,Individual,Medium,0.78
35,35-44,Female,Seoul,Single,Service Industry,KT,Individual,Medium,0.46
71,65+,Female,Seoul,Four-or-More,Retired/Unemployed,Other,Family,Low,0.29
72,65+,Female,Other Urban,Single,Retired/Unemployed,SKB,Triple-Play,Low,0.09
77,65+,Female,Other Urban,Three-Person,Retired/Unemployed,KT,Triple-Play,Low,0.34
31,25-34,Male,Seoul,Four-or-More,Professional/Managerial,LG U+,Family,High,0.7
38,35-44,Female,Rural Areas,Single,Professional/Managerial,Other,Triple-Play,High,0.77
72,65+,Male,Seoul,Single,Retired/Unemployed,SKB,Triple-Play,Low,0.37
29,25-34,Male,Other Urban,Four-or-More,Professional/Managerial,KT,Family,Medium,0.67
19,18-24,Female,Seoul,Three-Person,Student,KT,Family,High,0.73
53,45-54,Male,Other Urban,Single,Homemaker,KT,Triple-Play,Medium,0.58
76,65+,Male,Other Urban,Single,Homemaker,LG U+,Individual,Medium,0.36
64,55-64,Female,Other Urban,Two-Person,Retired/Unemployed,SKB,Family,Low,0.14
49,45-54,Female,Seoul,Two-Person,Office Worker,KT,Family,High,0.9
13,13-17,Female,Other Urban,Two-Person,Student,LG U+,Individual,Medium,0.62
53,45-54,Female,Other Urban,Four-or-More,Office Worker,SKB,Triple-Play,Medium,0.28
76,65+,Female,Other Urban,Two-Person,Homemaker,Other,Triple-Play,Low,0.51
22,18-24,Male,Other Urban,Four-or-More,Student,SKB,Family,High,0.67
50,45-54,Male,Other Urban,Three-Person,Service Industry,SKB,Triple-Play,Medium,0.25
84,65+,Male,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.32
60,55-64,Female,Seoul,Three-Person,Professional/Managerial,KT,Family,Low,0.27
62,55-64,Female,Other Urban,Two-Person,Service Industry,KT,Triple-Play,Medium,0.64
57,55-64,Female,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.35
39,35-44,Female,Other Urban,Single,Office Worker,SKB,Triple-Play,High,0.93
26,25-34,Female,Other Urban,Two-Person,Professional/Managerial,SKB,Family,High,0.64
56,55-64,Male,Seoul,Two-Person,Professional/Managerial,Other,Family,Low,0.15
61,55-64,Female,Other Urban,Four-or-More,Homemaker,SKB,Triple-Play,Medium,0.49
74,65+,Male,Other Urban,Four-or-More,Homemaker,LG U+,Family,Low,0.28
77,65+,Female,Other Urban,Single,Professional/Managerial,LG U+,Individual,Medium,0.37
54,45-54,Male,Other Urban,Three-Person,Professional/Managerial,KT,Triple-Play,High,0.9
54,45-54,Male,Other Urban,Single,Service Industry,LG U+,Triple-Play,Medium,0.54
60,55-64,Male,Rural Areas,Single,Retired/Unemployed,Other,Individual,Medium,0.26
58,55-64,Female,Other Urban,Single,Homemaker,SKB,Triple-Play,Low,0.11
59,55-64,Male,Seoul,Two-Person,Retired/Unemployed,LG U+,Family,Low,0.52
55,55-64,Male,Seoul,Single,Retired/Unemployed,SKB,Individual,Medium,0.37
71,65+,Male,Other Urban,Two-Person,Homemaker,KT,Triple-Play,Low,0.27
32,25-34,Male,Other Urban,Single,Professional/Managerial,KT,Individual,Medium,0.36
43,35-44,Male,Seoul,Single,Office Worker,SKB,Individual,High,0.86
17,13-17,Female,Rural Areas,Four-or-More,Student,SKB,Triple-Play,Medium,0.58
47,45-54,Male,Other Urban,Four-or-More,Professional/Managerial,SKB,Triple-Play,Medium,0.61
6,5-12,Male,Other Urban,Three-Person,Student,Other,Triple-Play,Low,0.09
43,35-44,Female,Other Urban,Two-Person,Office Worker,KT,Triple-Play,High,0.65
50,45-54,Female,Seoul,Three-Person,Professional/Managerial,SKB,Triple-Play,High,0.79
29,25-34,Female,Other Urban,Three-Person,Professional/Managerial,SKB,Family,High,0.57
47,45-54,Male,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Medium,0.34
10,5-12,Female,Other Urban,Single,Student,SKB,Triple-Play,Low,0.22
7,5-12,Female,Seoul,Single,Student,LG U+,Individual,Low,0.38
74,65+,Female,Rural Areas,Single,Retired/Unemployed,LG U+,Individual,Low,0.2
40,35-44,Male,Other Urban,Two-Person,Professional/Managerial,SKB,Family,High,0.7
16,13-17,Female,Other Urban,Single,Student,KT,Individual,High,0.83
46,45-54,Male,Other Urban,Three-Person,Office Worker,KT,Triple-Play,Medium,0.76
62,55-64,Female,Rural Areas,Three-Person,Retired/Unemployed,KT,Family,Medium,0.77
28,25-34,Male,Seoul,Single,Professional/Managerial,KT,Individual,High,0.72
53,45-54,Male,Other Urban,Single,Office Worker,SKB,Triple-Play,High,0.63
11,5-12,Female,Rural Areas,Two-Person,Student,SKB,Triple-Play,Low,0.59
8,5-12,Female,Seoul,Single,Student,KT,Individual,Low,0.22
46,45-54,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Medium,0.9
48,45-54,Female,Seoul,Three-Person,Service Industry,LG U+,Triple-Play,Low,0.47
49,45-54,Female,Other Urban,Two-Person,Service Industry,KT,Triple-Play,Medium,0.34
57,55-64,Male,Rural Areas,Four-or-More,Service Industry,KT,Triple-Play,Low,0.11
73,65+,Male,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Low,0.3
49,45-54,Male,Seoul,Four-or-More,Service Industry,KT,Family,Low,0.33
26,25-34,Female,Rural Areas,Single,Professional/Managerial,KT,Individual,High,0.64
57,55-64,Female,Other Urban,Single,Office Worker,KT,Individual,Medium,0.53
33,25-34,Female,Other Urban,Single,Professional/Managerial,LG U+,Triple-Play,High,0.74
41,35-44,Male,Other Urban,Single,Office Worker,SKB,Individual,High,0.44
6,5-12,Male,Other Urban,Two-Person,Student,KT,Family,Low,0.13
0,0-4,Male,Other Urban,Three-Person,Student,SKB,Family,Low,0.1
78,65+,Female,Rural Areas,Four-or-More,Homemaker,KT,Family,Low,0.25
68,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,SKB,Family,Low,0.23
63,55-64,Female,Other Urban,Two-Person,Homemaker,LG U+,Family,Low,0.65
36,35-44,Female,Other Urban,Three-Person,Office Worker,KT,Family,Medium,0.5
24,18-24,Male,Other Urban,Single,Student,SKB,Triple-Play,High,0.87
21,18-24,Female,Other Urban,Two-Person,Office Worker,SKB,Triple-Play,High,0.91
34,25-34,Male,Other Urban,Four-or-More,Student,Other,Triple-Play,High,0.98
48,45-54,Male,Rural Areas,Single,Service Industry,Other,Triple-Play,Low,0.26
59,55-64,Male,Other Urban,Two-Person,Retired/Unemployed,LG U+,Family,Medium,0.79
56,55-64,Male,Seoul,Four-or-More,Homemaker,LG U+,Triple-Play,Low,0.54
34,25-34,Male,Seoul,Single,Service Industry,LG U+,Triple-Play,Low,0.44
65,65+,Male,Other Urban,Four-or-More,Homemaker,Other,Family,Medium,0.43
61,55-64,Female,Seoul,Single,Office Worker,SKB,Triple-Play,Low,0.48
54,45-54,Female,Other Urban,Four-or-More,Professional/Managerial,SKB,Family,Medium,0.63
45,45-54,Male,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.13
42,35-44,Male,Rural Areas,Single,Office Worker,Other,Individual,Medium,0.38
27,25-34,Male,Other Urban,Single,Office Worker,KT,Triple-Play,Medium,0.52
